date,draw_no,result,Lottery_name
"Tuesday June 12, 2018",1788,Q 42 58 61 73 ,govisetha
"Monday June 11, 2018",1787,B 31 56 68 78 ,govisetha
"Sunday June 10, 2018",1786,R 01 48 59 79 ,govisetha
"Saturday June 09, 2018",1785,K 4 43 56 59 ,govisetha
"Friday June 08, 2018",1784,L 11 33 62 67 ,govisetha
"Thursday June 07, 2018",1783,U 14 28 39 60 ,govisetha
"Wednesday June 06, 2018",1782,W 12 43 46 51 ,govisetha
"Tuesday June 05, 2018",1781,U 05 06 26 41 ,govisetha
"Monday June 04, 2018",1780,Q 33 43 52 77 ,govisetha
"Sunday June 03, 2018",1779,H 27 44 56 80 ,govisetha
"Saturday June 02, 2018",1778,W 01 09 12 64 ,govisetha
"Friday June 01, 2018",1777,X 23 34 68 71 ,govisetha
"Thursday May 31, 2018",1776,N 19 29 37 39 ,govisetha
"Wednesday May 30, 2018",1775,U 7 13 22 64 ,govisetha
"Tuesday May 29, 2018",1774,K 27 53 78 79 ,govisetha
"Monday May 28, 2018",1773,N 34 46 61 71 ,govisetha
"Sunday May 27, 2018",1772,Z 15 34 59 67 ,govisetha
"Saturday May 26, 2018",1771,T 2 7 65 75 ,govisetha
"Friday May 25, 2018",1770,I 10 22 69 71 ,govisetha
"Thursday May 24, 2018",1769,W 33 49 57 79 ,govisetha
"Wednesday May 23, 2018",1768,O 5 40 45 66 ,govisetha
"Tuesday May 22, 2018",1767,L 32 38 54 56 ,govisetha
"Monday May 21, 2018",1766,L 7 37 49 73 ,govisetha
"Sunday May 20, 2018",1765,T 09 46 71 79 ,govisetha
"Saturday May 19, 2018",1764,F 2 33 38 56 ,govisetha
"Friday May 18, 2018",1763,Y 15 23 45 59 ,govisetha
"Thursday May 17, 2018",1762,G 28 61 72 78 ,govisetha
"Wednesday May 16, 2018",1761,P 8 13 42 65 ,govisetha
"Tuesday May 15, 2018",1760,Q 35 70 75 78 ,govisetha
"Monday May 14, 2018",1759,Y 17 54 62 68 ,govisetha
"Sunday May 13, 2018",1758,D 14 40 58 64 ,govisetha
"Saturday May 12, 2018",1757,X 22 23 45 53 ,govisetha
"Friday May 11, 2018",1756,Y 01 18 52 58 ,govisetha
"Thursday May 10, 2018",1755,B 10 20 29 52 ,govisetha
"Wednesday May 09, 2018",1754,V 13 27 60 78 ,govisetha
"Tuesday May 08, 2018",1753,B 02 37 58 62 ,govisetha
"Monday May 07, 2018",1752,G 17 28 42 47 ,govisetha
"Sunday May 06, 2018",1751,K 40 50 69 75 ,govisetha
"Saturday May 05, 2018",1750,M 10 26 64 80 ,govisetha
"Friday May 04, 2018",1749,A 1 11 34 35 ,govisetha
"Thursday May 03, 2018",1748,K 10 29 60 68 ,govisetha
"Wednesday May 02, 2018",1747,T 27 58 69 77 ,govisetha
"Tuesday May 01, 2018",1746,O 11 55 72 80 ,govisetha
"Saturday April 28, 2018",1745,R 41 56 65 75 ,govisetha
"Friday April 27, 2018",1744,R 4 11 49 68 ,govisetha
"Thursday April 26, 2018",1743,I 17 55 63 64 ,govisetha
"Wednesday April 25, 2018",1742,R 12 33 43 44 ,govisetha
"Tuesday April 24, 2018",1741,C 30 31 57 58 ,govisetha
"Monday April 23, 2018",1740,G 32 51 60 69 ,govisetha
"Sunday April 22, 2018",1739,C 22 69 76 78 ,govisetha
"Saturday April 21, 2018",1738,F 55 63 71 80 ,govisetha
"Friday April 20, 2018",1737,E 01 14 33 42 ,govisetha
"Thursday April 19, 2018",1736,C 18 46 61 67 ,govisetha
"Wednesday April 18, 2018",1735,B 60 67 74 76 ,govisetha
"Thursday April 12, 2018",1734,U 18 41 46 56 ,govisetha
"Wednesday April 11, 2018",1733,U 27 39 57 78 ,govisetha
"Tuesday April 10, 2018",1732,O 30 37 78 79 ,govisetha
"Monday April 09, 2018",1731,H 4 9 17 74 ,govisetha
"Sunday April 08, 2018",1730,N 40 53 65 70 ,govisetha
"Saturday April 07, 2018",1729,T 5 40 45 64 ,govisetha
"Friday April 06, 2018",1728,O 12 25 43 80 ,govisetha
"Thursday April 05, 2018",1727,Z 18 29 61 75 ,govisetha
"Wednesday April 04, 2018",1726,E 05 11 35 55 ,govisetha
"Tuesday April 03, 2018",1725,S 22 30 40 52 ,govisetha
"Monday April 02, 2018",1724,O 28 63 75 76 ,govisetha
"Sunday April 01, 2018",1723,Y 29 34 78 80 ,govisetha
"Saturday March 31, 2018",1722,R 2 28 70 73 ,govisetha
"Friday March 30, 2018",1721,A 3 9 7 13 ,govisetha
"Thursday March 29, 2018",1720,O 10 19 24 51 ,govisetha
"Wednesday March 28, 2018",1719,J 18 36 47 62 ,govisetha
"Tuesday March 27, 2018",1718,R 08 61 78 79 ,govisetha
"Monday March 26, 2018",1717,O 5 41 45 51 ,govisetha
"Sunday March 25, 2018",1716,X 15 33 36 62 ,govisetha
"Saturday March 24, 2018",1715,X 15 55 61 78 ,govisetha
"Friday March 23, 2018",1714,W 10 24 40 59 ,govisetha
"Thursday March 22, 2018",1713,W 3 9 33 34 ,govisetha
"Wednesday March 21, 2018",1712,A 6 8 62 67 ,govisetha
"Tuesday March 20, 2018",1711,A 4 38 47 50 ,govisetha
"Monday March 19, 2018",1710,F 29 52 60 66 ,govisetha
"Sunday March 18, 2018",1709,G 25 26 42 75 ,govisetha
